DATE,USSTHPI
2010-01-01,326.23
2010-04-01,323.27
2010-07-01,326.41
2010-10-01,324.09
2011-01-01,315.09
2011-04-01,309.55
2011-07-01,311.85
2011-10-01,313.28
2012-01-01,310.0
2012-04-01,308.58
2012-07-01,312.7
2012-10-01,315.15
2013-01-01,316.71
2013-04-01,321.54
2013-07-01,326.15
2013-10-01,328.74
2014-01-01,331.44
2014-04-01,337.87
2014-07-01,342.75
2014-10-01,345.53
2015-01-01,349.34
2015-04-01,355.01
2015-07-01,360.04
2015-10-01,362.94
2016-01-01,366.27
2016-04-01,373.13
2016-07-01,379.78
2016-10-01,382.72
2017-01-01,385.47
2017-04-01,394.09
2017-07-01,400.16
2017-10-01,403.48
2018-01-01,409.15
2018-04-01,416.68
2018-07-01,421.79
2018-10-01,423.23
2019-01-01,427.96
2019-04-01,435.11
2019-07-01,440.66
2019-10-01,444.57
2020-01-01,449.73
2020-04-01,454.23
2020-07-01,462.21
2020-10-01,472.38
2021-01-01,483.77
2021-04-01,510.67
2021-07-01,539.12
2021-10-01,557.65
2022-01-01,578.15
2022-04-01,616.29
2022-07-01,626.4
2022-10-01,621.3
2023-01-01,624.81
2023-04-01,644.13
2023-07-01,656.36
2023-10-01,657.83
2024-01-01,664.85
2024-04-01,682.18
